y1,a1,a2,a3,a4,cons,x
100.04,0,1,0,0,1,77545.00
300.00,0,1,0,0,1,120787.00
14.03,0,0,0,1,1,7297.00
5.80,0,0,1,0,1,12859.00
5.80,0,0,0,1,1,13598.00
5.00,0,0,0,0,1,21461.00
0.50,0,0,0,1,1,1077.00
4.90,0,0,0,1,1,12125.00
1.50,0,0,0,0,1,26211.00
2.25,0,0,0,0,1,7108.00
5.00,0,0,0,1,1,9955.00
4.10,0,0,0,1,1,4118.00
2.00,0,0,0,1,1,6185.00
0.03,0,0,0,0,1,3273.00
1.47,0,0,0,1,1,37363.00
0.50,0,0,0,0,1,3921.00
25.29,0,0,0,1,1,17000.00
1.80,0,0,0,0,1,4183.00
5.10,0,0,0,1,1,4977.00
1.00,0,0,0,0,1,6593.00
5.00,0,0,0,0,1,3252.00
8.80,0,0,0,1,1,13467.00
3.79,0,0,0,0,1,5548.00
19.50,0,0,0,1,1,15687.00
2.00,0,0,0,1,1,14954.00
0.20,0,0,0,0,1,1795.00
1.20,0,0,0,1,1,9224.00
12.80,0,0,0,1,1,9422.00
10.00,0,0,0,1,1,7244.00
2.00,0,0,0,1,1,4039.00
5.00,0,0,0,1,1,10502.00
5.00,0,0,0,1,1,6601.00
1.00,0,0,0,0,1,2533.00
7.38,0,0,0,1,1,13892.00
13.65,0,0,0,1,1,5099.00
7.00,0,0,0,1,1,7309.00
0.10,0,0,0,0,1,2382.00
0.30,0,0,0,0,1,5198.00
1.50,0,0,0,0,1,7680.00
20.45,0,0,0,1,1,9062.00
2.00,0,0,0,0,1,6328.00
23.00,0,0,0,1,1,17428.00
7.00,0,0,0,1,1,5569.00
3.15,0,0,0,0,1,3152.00
0.90,0,0,0,0,1,4484.00
2.50,0,0,0,1,1,5853.00
0.50,0,0,0,0,1,4443.00
0.92,0,0,0,1,1,2400.00
1.70,0,0,0,1,1,4750.00
0.73,0,0,0,0,1,3375.00
6.00,0,0,0,0,1,6417.00
0.75,0,0,0,1,1,4980.00
5.00,0,0,0,1,1,6534.00
1.00,0,0,0,0,1,4796.00
7.88,0,0,0,0,1,3940.00
1.30,0,0,0,0,1,8300.00
3.01,0,0,0,1,1,4878.00
2.24,0,0,0,1,1,6418.00
4.70,0,0,0,1,1,8103.00
3.50,0,0,0,1,1,4467.00
5.00,0,0,0,1,1,11356.00
2.59,0,0,0,0,1,2479.00
1.00,0,0,0,0,1,4686.00
2.51,0,0,0,0,1,4993.00
6.20,0,0,0,1,1,12866.00
3.00,0,0,0,0,1,5708.00
1.50,0,0,0,0,1,4371.00
1.35,0,0,0,1,1,9869.00
0.05,0,0,0,0,1,7382.00
2.05,0,0,0,1,1,5222.00
13.00,0,0,0,1,1,9264.00
10.00,0,0,0,1,1,7786.00
4.80,0,0,0,1,1,8367.00
35.34,0,0,1,0,1,19660.00
2.55,0,0,0,1,1,4101.00
11.26,0,0,0,1,1,5950.00
2.60,0,0,0,1,1,4565.00
11.57,0,0,0,0,1,16333.00
5.00,0,0,0,0,1,8700.00
10.00,0,0,0,1,1,11097.00
3.80,0,0,0,0,1,12551.00
2.40,0,0,0,1,1,5962.00
6.00,0,0,0,1,1,5839.00
2.00,0,0,0,1,1,3917.00
7.80,0,0,0,0,1,5185.00
1.93,0,0,0,1,1,10310.00
25.98,0,0,1,0,1,23236.00
4.00,0,0,0,0,1,2769.00
8.00,0,0,0,1,1,7025.00
1.10,0,0,0,0,1,3776.00
2.23,0,0,0,0,1,5002.00
2.00,0,0,0,1,1,6209.00
5.00,0,0,0,0,1,14780.00
7.14,0,0,0,0,1,7872.00
2.00,0,0,0,1,1,1904.00
2.75,0,0,0,1,1,5598.00
3.00,0,0,0,1,1,7694.00
1.75,0,0,0,0,1,6448.00
0.50,0,0,0,0,1,7715.00
4.50,0,0,0,1,1,12019.00
1.00,0,0,0,0,1,1791.00
1.24,0,0,0,0,1,7992.00
15.86,0,0,0,1,1,12064.00
1.17,0,0,0,0,1,6284.00
2.18,0,0,0,1,1,5565.00
1.87,0,0,0,1,1,5915.00
0.30,0,0,0,0,1,8214.00
0.03,0,0,0,1,1,3613.00
2.93,0,0,0,1,1,9370.00
5.00,0,0,0,0,1,9493.00
2.00,0,0,0,0,1,4847.00
2.00,0,0,0,0,1,5700.00
4.20,0,0,0,1,1,10619.00
1.00,0,0,0,0,1,4171.00
2.60,0,0,0,1,1,5210.00
2.50,0,0,0,0,1,5616.00
10.00,0,0,1,0,1,12628.00
6.89,0,0,0,0,1,7559.00
3.75,0,0,0,0,1,4065.00
47.50,0,0,1,0,1,59731.00
3.26,0,0,0,1,1,3632.00
17.00,0,0,0,1,1,11397.00
0.10,0,0,0,0,1,4124.00
2.78,0,0,0,1,1,6239.00
0.00,0,0,0,0,1,7037.00
2.00,0,0,0,0,1,3977.00
2.72,0,0,0,1,1,8441.00
3.00,0,0,0,1,1,3692.00
5.00,0,0,0,1,1,7076.00
0.26,0,0,0,0,1,8085.00
0.62,0,0,0,1,1,5152.00
0.50,0,0,0,1,1,2527.00
0.20,0,0,0,0,1,6475.00
0.45,0,0,0,1,1,9367.00
3.69,0,0,0,0,1,4061.00
0.20,0,0,0,1,1,6033.00
2.00,0,0,0,1,1,3737.00
9.00,0,0,0,1,1,14586.00
2.75,0,0,0,1,1,7780.00
5.00,0,0,0,1,1,7686.00
1.25,0,0,0,1,1,3098.00
5.74,0,0,0,1,1,5632.00
11.00,0,0,0,1,1,15930.00
6.20,0,0,0,1,1,12866.00
5.00,0,0,0,1,1,6667.00
0.72,0,0,0,1,1,5622.00
2.75,0,0,0,1,1,7780.00
8.00,0,0,0,1,1,15915.00
6.13,0,0,0,1,1,13676.00
3.82,0,0,0,1,1,8640.00
0.62,0,0,0,0,1,5152.00
0.10,0,0,0,0,1,4127.00
0.50,0,0,0,0,1,4460.00
0.06,0,0,0,0,1,4311.00
4.50,0,0,0,1,1,7376.00
2.24,0,0,0,0,1,10172.00
0.72,0,0,0,0,1,3386.00
2.30,0,0,0,0,1,9076.00
4.37,0,0,0,0,1,8831.00
2.00,0,0,0,0,1,5442.00
3.00,0,0,0,0,1,5754.00
11.00,0,0,0,1,1,14374.00
0.04,0,0,0,0,1,2328.00
1.40,0,0,0,0,1,1312.00
2.00,0,0,0,0,1,5897.00
4.00,0,0,0,0,1,11377.00
2.50,0,0,0,0,1,14858.00
6.00,0,0,0,1,1,6022.00
2.50,0,0,0,1,1,4234.00
1.00,0,0,0,0,1,4355.00
4.50,0,0,0,0,1,20173.00
8.00,0,0,0,0,1,8708.00
4.25,0,0,0,1,1,4582.00
13.83,0,0,0,1,1,13562.00
90.00,0,1,0,0,1,64288.00
12.50,0,0,0,0,1,18592.00
8.83,0,0,0,1,1,7655.00
19.00,0,0,1,0,1,30414.00
1.47,0,0,0,0,1,13356.00
7.00,0,0,0,0,1,15307.00
0.63,0,0,0,0,1,7630.00
1.50,0,0,0,0,1,5330.00
46.90,0,0,1,0,1,21600.00
1.00,0,0,0,0,1,3999.00
0.30,0,0,0,0,1,6457.00
8.00,0,0,0,1,1,11617.00
2.00,0,0,0,0,1,2509.00
3.26,0,0,0,0,1,3581.00
2.00,0,0,0,0,1,11745.00
42.53,0,0,1,0,1,23206.00
256.00,0,1,0,0,1,81267.00
7.00,0,0,0,1,1,6049.00
1.00,0,0,0,0,1,4365.00
2.00,0,0,0,0,1,7414.00
0.44,0,0,0,0,1,4881.00
1.10,0,0,0,0,1,3810.00
30.00,0,0,1,0,1,15288.00
1.25,0,0,0,1,1,8836.00
1.03,0,0,0,0,1,2161.00
5.00,0,0,0,0,1,7773.00
2.98,0,0,0,1,1,3459.00
1.50,0,0,0,1,1,2134.00
2.00,0,0,0,0,1,7631.00
